epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.3965,0.27612,0.99306,1,0.01663,0.000546984,0.000546984,0.000546984
2,137.855,0.08277,0.99537,1,0.03555,0.00108446,0.00108446,0.00108446
3,190.707,0.07826,0.99769,1,0.00616,0.00160359,0.00160359,0.00160359
4,252.364,0.1107,0.97685,1,0.08148,0.00158448,0.00158448,0.00158448
5,306.808,0.08625,0.98611,1,0.0539,0.00155698,0.00155698,0.00155698
6,367.495,0.08212,0.99769,1,0.01107,0.00152947,0.00152947,0.00152947
7,426.631,0.07429,0.99537,1,0.01429,0.00150197,0.00150197,0.00150197
8,498.149,0.06871,0.99537,1,0.02338,0.00147446,0.00147446,0.00147446
9,558.421,0.05541,0.99537,1,0.01368,0.00144696,0.00144696,0.00144696
10,632.45,0.02643,0.99769,1,0.00283,0.00141945,0.00141945,0.00141945
11,711.096,0.0296,1,1,0.00292,0.00139195,0.00139195,0.00139195
12,773.019,0.04885,1,1,0.00879,0.00136444,0.00136444,0.00136444
13,841.629,0.04755,1,1,0.0068,0.00133693,0.00133693,0.00133693
14,894.115,0.02519,0.99537,1,0.01096,0.00130943,0.00130943,0.00130943
15,971.572,0.01697,0.98611,1,0.0322,0.00128192,0.00128192,0.00128192
16,1026.59,0.05844,0.99537,1,0.01276,0.00125442,0.00125442,0.00125442
17,1091.15,0.03587,0.99306,1,0.02193,0.00122691,0.00122691,0.00122691
18,1145.86,0.03486,0.99537,1,0.01212,0.00119941,0.00119941,0.00119941
19,1205.97,0.02661,0.99537,1,0.01891,0.0011719,0.0011719,0.0011719
20,1264.05,0.01663,0.99769,1,0.00479,0.0011444,0.0011444,0.0011444
21,1325.79,0.02257,0.99769,1,0.00242,0.00111689,0.00111689,0.00111689
22,1381.21,0.04884,1,1,0.00231,0.00108938,0.00108938,0.00108938
23,1440.51,0.02995,0.99537,1,0.01621,0.00106188,0.00106188,0.00106188
24,1501.12,0.02081,0.99306,1,0.02377,0.00103437,0.00103437,0.00103437
25,1553.68,0.02329,1,1,0.00184,0.00100687,0.00100687,0.00100687
26,1620.53,0.02779,1,1,0.00264,0.000979362,0.000979362,0.000979362
27,1671.79,0.01681,0.99769,1,0.00471,0.000951857,0.000951857,0.000951857
28,1738.34,0.02156,1,1,0.00195,0.000924352,0.000924352,0.000924352
29,1791.8,0.00527,1,1,0.00311,0.000896846,0.000896846,0.000896846
30,1857.5,0.01132,1,1,0.00227,0.00086934,0.00086934,0.00086934
31,1914.52,0.01741,1,1,0.00149,0.000841835,0.000841835,0.000841835
32,1976.73,0.01499,1,1,0.00162,0.000814329,0.000814329,0.000814329
33,2039.02,0.01423,1,1,0.00347,0.000786824,0.000786824,0.000786824
34,2102.56,0.01334,0.99769,1,0.0032,0.000759318,0.000759318,0.000759318
35,2161.54,0.01408,1,1,0.0027,0.000731813,0.000731813,0.000731813
36,2219.39,0.01324,1,1,0.00067,0.000704307,0.000704307,0.000704307
37,2280.72,0.00448,1,1,0.00054,0.000676802,0.000676802,0.000676802
38,2339.68,0.01051,1,1,0.00098,0.000649297,0.000649297,0.000649297
39,2403.9,0.01341,1,1,0.00049,0.000621791,0.000621791,0.000621791
40,2457.78,0.01339,1,1,0.00162,0.000594286,0.000594286,0.000594286
41,2527.25,0.01069,1,1,0.0014,0.00056678,0.00056678,0.00056678
42,2580.57,0.01501,0.99769,1,0.00216,0.000539275,0.000539275,0.000539275
43,2647.08,0.01754,0.99769,1,0.00419,0.000511769,0.000511769,0.000511769
44,2698.8,0.00578,0.99769,1,0.00325,0.000484263,0.000484263,0.000484263
45,2761.25,0.00643,1,1,0.00169,0.000456758,0.000456758,0.000456758
46,2816.99,0.00747,1,1,0.00117,0.000429253,0.000429253,0.000429253
47,2876.36,0.0118,1,1,0.00035,0.000401747,0.000401747,0.000401747
48,2938.95,0.0127,1,1,0.00029,0.000374242,0.000374242,0.000374242
49,2990.53,0.00627,1,1,0.00071,0.000346736,0.000346736,0.000346736
50,3061.58,0.00418,1,1,0.00121,0.000319231,0.000319231,0.000319231
51,3118.1,0.00951,1,1,0.00101,0.000291725,0.000291725,0.000291725
52,3180.72,0.00344,1,1,0.0006,0.00026422,0.00026422,0.00026422
53,3237,0.01162,1,1,0.00095,0.000236714,0.000236714,0.000236714
54,3293.58,0.00328,1,1,0.0009,0.000209209,0.000209209,0.000209209
55,3353.15,0.00401,1,1,0.00074,0.000181703,0.000181703,0.000181703
56,3408.6,0.00196,1,1,0.00037,0.000154198,0.000154198,0.000154198
57,3474.37,0.00172,1,1,0.00045,0.000126692,0.000126692,0.000126692
58,3529.59,0.00278,1,1,0.00051,9.91865e-05,9.91865e-05,9.91865e-05
59,3598.93,0.00599,1,1,0.00026,7.1681e-05,7.1681e-05,7.1681e-05
60,3648.2,0.00592,1,1,0.00045,4.41755e-05,4.41755e-05,4.41755e-05
